observation_id,comparison,comparison_family,rat_left,rat_right,rat_pair,model_run,procrustes_disparity,aligned_rmse,aligned_sse_over_target_ss
124,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,4,0.037025763092451626,0.1924207969333137,0.03702576309245156
125,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,5,0.2757814501210933,0.5251489789774834,0.27578145012109323
126,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,6,0.24732930932660774,0.497322138383772,0.24732930932660757
127,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,7,0.13297621429667578,0.3646590384135237,0.13297621429667575
128,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,8,0.17546823927075625,0.41888929238016603,0.17546823927075622
129,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,9,0.16819115396770365,0.41011114830945966,0.16819115396770357
130,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,10,0.2813311052959878,0.5304065471843156,0.2813311052959876
131,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,11,0.353197453909584,0.5943041762511722,0.35319745390958424
132,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,12,0.26847462502935066,0.5181453705567104,0.26847462502935066
133,B_vs_A,A_vs_B,rat0222,rat0313,rat0222__rat0313,13,0.22142172836992785,0.4705547028454055,0.22142172836992788
